Time,M0,M1,M2,M3,M4,M5,M6,M7
4.114525,0.0347066,-0.157613757,0.001478291,-0.026598672,-0.031879237,0.101996225,0.0578448,0.084799757
4.142322222,0.074229029,-0.113659729,0.14271692,-0.039474551,-0.068290499,0.165073222,0.073291694,0.082990166
4.170119444,0.074925183,-0.118724684,0.078129903,-0.044380551,-0.0024483,0.123956287,0.064692655,-0.267387477
4.197930556,0.045535615,-0.157759229,0.071498102,-0.024552388,0.059530083,0.095493052,0.067577181,0.087090297
4.225741667,0.03815321,-0.153448373,0.083906747,-0.055564727,-0.071472611,0.088084345,0.09633196,-0.010467192
4.25355,0.059094696,-0.10224069,0.05093756,-0.020903612,-0.036262437,0.183175239,0.071131139,0.027933278
4.281352778,0.054393869,-0.140565889,0.085168542,-0.035895046,-0.074555919,0.139093277,0.08661572,0.037534668
4.309163889,0.030061175,-0.147752241,6.60E-02,-0.009651854,0.063051006,0.174140468,0.092052603,-0.046888818
4.336972222,0.029285416,-0.147121941,0.073858971,-0.032895461,-0.049442818,0.110718654,0.069313743,0.005719537
4.364775,0.071104218,-0.106476998,0.066276391,-0.031378858,-0.009463976,0.1630124,0.046690606,0.026905555
4.392580556,0.064752236,-0.148681663,0.084851928,-0.020638838,0.035893966,0.189122458,0.071688403,-0.143183738
4.420383333,0.071591138,-0.150656691,0.080928233,-0.016886794,0.025127594,0.150410329,0.079777532,0.029906482
4.448194444,0.045806014,-0.138686768,0.051938149,-0.030110808,0.16591189,0.166248451,0.078140598,0.037974308
4.475980556,0.05359685,-0.096699132,0.075057506,-0.023485552,0.158241591,0.124425839,0.060448343,-0.010908723
4.503772222,0.043934674,-0.151885642,0.082473315,-0.052320677,0.149770053,0.045256845,0.078010796,-0.000353681
4.531583333,0.043446209,-0.14563596,0.130419178,-0.019428717,-0.071603754,0.137005709,0.063918631,0.005827941
4.559372222,0.042551331,-0.136307265,0.080711716,-0.052817081,-0.003914872,0.16946724,0.035595351,0.011602645
4.587172222,0.044025476,-0.11350156,-0.006636669,-0.025455524,0.028549209,0.101191343,0.085247323,-0.037183577
4.614969444,0.041930917,-0.148315835,0.059583723,-0.019816392,-0.017259862,0.148282723,0.063369442,-0.01068258
4.642780556,0.046066635,-0.114413913,0.092656552,-0.04867738,-0.009326085,0.117730286,0.079107393,0.036425233
4.670588889,0.039381012,-0.122942529,0.000811378,-0.024615542,0.024800308,0.129134267,0.090926867,0.042363321
4.698394444,0.042915455,-0.151173214,0.020556175,-0.024355226,0.006349654,0.102660841,0.099022711,0.025592728
4.726205556,0.045965064,-0.102551805,0.066327395,-0.014225141,-0.013588976,0.135847354,0.105048246,-0.015725329
4.753997222,0.050133102,-0.099324535,0.07595913,-0.074707123,-0.04244263,0.154898622,0.048836085,0.045744766
4.781788889,0.047538861,-0.104954935,0.075999522,-0.039312749,0.001936515,0.125595857,0.05367493,0.039832052
4.8096,0.060296282,-0.14023705,0.01910367,-0.041328049,0.004484847,0.104520288,0.108328399,-0.024785911
4.837408333,0.064409575,-0.144312054,-0.072543941,-0.0585428,0.036379475,0.127220063,0.072138092,0.010323132
4.8652,0.036585873,-0.096829742,0.072710031,-0.029403075,-0.008507112,0.162809805,0.060315646,0.064469761
4.893005556,0.051827077,-0.131626744,0.054546953,-0.035380007,0.025500539,0.154451572,0.09083587,0.036052755
4.9208,0.031586627,-0.140199415,0.05963693,-0.033046408,0.21885797,0.151468882,0.073908532,-0.033566235
4.948588889,0.028216226,-0.093905831,0.091521497,-0.067510781,0.241362668,0.132761025,0.040606605,-0.011277454
4.976388889,0.026978706,-0.145393618,0.054793424,-0.055932048,-0.313057105,0.14835928,0.091007609,0.040243223
5.004191667,0.026857978,-0.143642297,0.106732552,-0.079115424,0.31243765,0.109146313,0.041181645,0.068880078
5.032002778,0.041226053,-0.10510922,0.106822552,-0.033791104,0.643713939,0.093210885,0.054017447,0.053532124
5.059811111,0.029768969,-0.145308421,0.145988059,-0.070468421,-0.247445823,0.180850336,0.117903338,0.026495519
5.087622222,0.030107847,-0.144523452,0.074885362,-0.015015972,0.304347517,0.128861883,0.099061833,0.03351632
5.115419444,0.032415462,-0.144773605,0.070417516,-0.017702766,-0.122754447,0.114428766,0.10482013,0.048082803
5.143238889,0.030177051,-0.113229172,0.057082785,-0.024191309,0.119148598,0.14221218,0.110474225,0.072676229
5.171033333,0.029202594,-0.140006861,0.061450548,-0.081077123,-0.051109952,0.102701338,0.065340053,0.009822069
5.198841667,0.030365024,-0.092520975,0.067604202,-0.019490525,0.362113278,0.131097688,0.076682371,0.016476422
5.226638889,0.029625326,-0.133046229,0.05997482,-0.020183156,-0.117955864,0.061406626,0.07977472,0.017536034
5.254430556,0.029899869,-0.129252089,0.084811385,-0.044937964,-0.041353027,0.043508031,0.055931355,0.007080434
5.282236111,0.032666278,-0.140686736,0.092139985,-0.044902015,0.417554875,0.143348635,0.110414772,0.028583738
5.310038889,0.029291183,-0.137908756,0.060325507,-0.042746085,0.464357097,0.106206417,0.067968903,0.01465253
5.33785,0.061575358,-0.099421625,0.077373227,-0.04138187,0.242938806,0.141428448,0.092343287,0.002955649
5.365658333,0.059047876,-0.143311947,0.100892486,-0.037232244,-0.247530962,0.076764008,0.085958671,0.005226364
5.393466667,0.054892343,-0.093400288,0.063748652,-0.023988265,-0.209961041,0.232500584,0.071918667,0.025134343
5.421266667,0.062117948,-0.135238363,0.085531788,-0.043117054,-0.199977696,0.141638516,0.052124863,0.089719978
5.449075,0.065132317,-0.106242518,0.082867664,0.044017912,-0.156611833,0.188284836,0.073877915,0.104973286
5.476886111,0.048260928,-0.107381247,0.035434211,-0.086911932,0.402433917,0.525853148,0.089300619,0.018352737
5.5047,0.031631578,-0.120641974,0.096337309,-0.037772693,0.567525026,0.05110742,0.076207095,0.059247976
5.532508333,0.036697667,-0.140066972,0.102220283,-0.042023186,0.524557188,0.136953265,0.09392026,0.062993551
5.560302778,0.037114149,-0.139861186,0.107572778,0.03390786,0.252298587,0.103415336,0.075770836,0.014088666
5.588111111,0.040005586,-0.136181736,0.197351902,-0.039262098,0.205869825,0.099381044,0.079236181,0.062499076
5.615913889,0.039059329,-0.137989245,0.11570807,0.06855216,0.089314824,0.13932291,0.088428176,0.011749821
5.643725,0.041572255,-0.131842795,0.131089168,-0.033689961,-0.054068863,0.10000157,0.079546342,0.014900606
