Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,,,,
3.920119444,0.151989503,0.005748096,0.101575316,-0.023033614,0.137706621,0.142369771,0.116864194,-0.013548396,,,,
3.947922222,0.138352231,0.037434753,0.106784016,-0.034895731,0.148353166,0.172843317,0.104857939,-0.016767124,,,,
3.975736111,0.14703834,0.046914742,0.094716588,0.012410665,0.149475034,0.168094514,0.108450913,0.117832551,,,,
4.003544444,0.111749359,0.007919416,0.118858931,0.01157787,0.11284361,0.161454741,0.099614046,0.017730076,,,,
4.031355556,0.13541274,-0.059022951,0.110832525,-0.015900794,0.152260229,0.17067333,0.111622597,0.022758785,,,,
4.059163889,0.102069983,-0.118441168,0.130343157,-0.022864561,0.143876515,0.175552375,0.105860683,-0.027064414,,,,
4.086955556,0.072581989,0.048140693,0.098088741,-0.018272329,0.11864456,0.138791308,0.108577213,0.016838177,,,,
4.114763889,0.055249342,0.140303122,0.105742681,-0.018771742,0.148179869,0.135247209,0.128333227,0.005086456,,,,
4.142572222,0.058577722,0.131104423,0.11278503,0.011586412,0.132830052,0.185702515,0.104139608,0.059635389,,,,
4.170363889,0.058419178,0.084364891,0.131469049,0.025369016,0.131690325,0.146604937,0.110168699,0.101856112,,,,
4.198169444,0.036788044,0.150566593,0.111718656,-0.024585929,0.122122003,0.184608321,0.108450315,0.107929915,,,,
4.225961111,0.012550367,-0.08451994,0.115263355,0.011593366,0.144708223,0.156745214,0.111609189,0.096586078,,,,
4.253772222,0.044600149,0.151172417,0.094294799,-0.026302748,0.133024811,0.17229949,0.119401596,0.027391887,,,,
4.281561111,0.016994493,0.09611387,0.074421431,-0.04489381,0.131181819,0.18314272,0.122688428,0.027187874,,,,
4.309372222,-0.002530251,0.074273952,1.15E-01,-0.020271295,0.142760896,0.192835237,0.11510182,0.019292752,,,,
4.337183333,0.036870477,0.090539496,0.103765514,0.011615149,0.142856609,0.190873277,0.081326439,0.047250282,,,,
4.364986111,-0.009167146,0.070841416,0.10593087,0.027631173,0.136283467,0.192703419,0.109142275,0.015380881,,,,
4.392788889,0.044621619,0.045498499,0.113812094,-0.016203986,0.145452346,0.135720328,0.111969692,0.295175801,,,,
4.420575,0.047522111,0.121468411,0.115002311,-0.027872181,0.145256028,0.193295531,0.111578675,0.030689709,,,,
4.448386111,0.064234915,0.068358435,0.12324226,0.000202005,0.140630683,0.19880154,0.100809575,0.016672007,,,,
4.476186111,0.109719303,0.016192562,0.099477705,-0.026827653,0.134098075,0.176811815,0.076598493,0.001979275,,,,
4.503988889,0.141748721,-0.061730989,0.114560304,-0.037445428,0.115607111,0.150168888,0.12282324,0.070802052,,,,
4.531788889,0.146443569,0.009360852,0.111800046,-0.048024939,0.122648453,0.191810662,0.089162316,0.064972951,,,,
4.5596,0.105989392,0.017442879,0.0971828,0.001080507,0.107290754,0.182682335,0.111273435,0.036111276,,,,
4.587405556,0.059097527,0.048698791,0.109297577,-0.017861665,0.104122951,0.200318779,0.105676614,0.282272618,,,,
4.615213889,0.076634348,-0.094403516,0.103650879,0.001098769,0.107520372,0.194767074,0.119018784,0.003096388,,,,
4.643025,0.071040434,-0.076826202,0.13219141,-0.026676369,0.112692824,0.14290425,0.078866402,-0.006757725,,,,
4.670822222,0.06679983,-0.04362497,0.101096097,0.009205696,0.107897698,0.190357147,0.119233816,0.1286261,,,,
4.698625,0.051551035,-0.002119819,0.100151375,-0.014286847,0.119715192,0.177576858,0.115281178,0.093393204,,,,
4.726425,0.063618198,-0.092971359,0.162332023,-0.001055999,0.111494567,0.180970596,0.137657209,0.049389858,,,,
4.754227778,0.066180069,0.005381902,0.103951402,-0.010598918,0.108633636,0.186506505,0.104053754,0.011299086,,,,
4.782038889,0.084028807,-0.035502076,0.10183075,0.014172198,0.101676991,0.175730564,0.164688304,0.060278662,,,,
4.809847222,0.019737809,0.009068591,0.113295415,0.008327378,0.103407915,0.188069148,0.149999739,0.015110092,,,,
4.837647222,0.053261729,-0.097916354,0.104375438,-0.015411486,0.115689789,0.182484659,0.086089674,0.065521162,,,,
4.865455556,0.034752593,-0.086474038,0.116377456,-0.00256343,0.123682258,0.179361712,0.0798756,0.352140494,,,,
4.893266667,0.048300719,0.080484707,0.086508689,0.051446254,0.118471395,0.141611242,0.114751065,0.017173284,,,,
4.921069444,0.039560293,0.045548222,0.084124223,0.009745771,0.130543472,0.147024103,0.142531156,-0.024914291,,,,
4.948877778,0.042988201,0.001373638,0.127903887,0.009997661,0.129137481,0.198633536,0.089664426,0.104426401,,,,
4.976675,0.04493201,-0.036738808,0.111283357,-0.037322693,0.130156523,0.191627782,0.091915354,0.035254416,,,,
5.004486111,0.071067379,-0.032441569,0.153181302,-0.011287192,0.133019778,0.202307288,0.109414109,0.001348606,,,,
5.032280556,0.059099249,0.002742553,0.152569606,0.024883702,0.120451892,0.200365377,0.106149815,-0.012327603,,,,
5.060080556,0.05943285,-0.084057838,0.109999155,0.000575143,0.131713888,0.189417841,0.137279025,-0.003372499,,,,
5.087883333,0.067405325,-0.048234121,0.117746574,0.001490844,0.117770492,0.196897418,0.128104715,-0.01962111,,,,
5.115683333,0.077051505,0.025681026,0.116593028,0.00783524,0.112713917,0.186595513,0.123876531,0.033769099,,,,
5.143475,0.044613252,0.014567603,0.139791791,0.005968557,0.130827273,0.188733489,0.094210474,0.193240649,,,,
5.171286111,0.064536085,0.02713716,0.088810306,-0.016945684,0.104706398,0.182449706,0.132216487,0.011919489,,,,
5.199077778,0.061013177,-0.035297044,0.13994548,-0.008034586,0.106932253,0.19988526,0.11132978,-0.002364172,,,,
5.226875,0.066916363,-0.051855912,0.024915179,0.019415197,0.133115321,0.186966153,0.091888039,-0.014591622,,,,
5.254669444,0.032442357,0.008124725,0.095029876,-0.000353415,0.115184672,0.167060497,0.123868748,0.17224435,,,,
5.282480556,0.066687475,0.089002798,0.122678586,0.018982132,0.121231133,0.151819532,0.129110937,0.134546268,,,,
5.310288889,0.057988412,0.105233423,0.11211634,-0.005855902,0.122302585,0.185337682,0.109498536,0.080785174,,,,
5.338097222,0.060302463,-0.040638413,0.108432225,-0.005916087,0.130669159,0.203644986,0.139453575,0.066148982,,,,
5.365886111,0.039435643,0.045328091,0.102798904,0.008831099,0.120575844,0.201720261,0.159394949,0.068098171,,,,
5.393672222,0.027313206,-0.022842207,0.106969045,0.023251117,0.135274391,0.197474032,0.008259666,0.04582792,,,,
5.421466667,0.069644221,0.017173779,0.104334718,0.021979327,0.128926699,0.191413424,0.110604912,0.122420368,,,,
5.449275,0.090972801,-0.013025926,0.073958614,-0.010691847,0.129080314,0.197021425,0.108509498,0.07646526,,,,
5.477072222,0.069887735,0.101310755,0.2081649,-0.023632939,0.121297423,0.19954701,0.181330723,0.068046135,,,,
5.504875,0.064465366,-0.018011609,0.113286026,0.048159248,0.119683601,0.203557558,0.088719696,0.062050674,,,,
5.532675,0.080417368,-0.048800689,0.142863649,0.02686514,0.130207815,0.203397501,0.113083754,0.036151221,,,,
5.560483333,0.03307301,0.028206037,0.130608024,0.022035182,0.112319962,0.197585319,-0.001713522,0.05604828,,,,
5.588275,0.031428986,-0.068968453,0.146021107,0.036528313,0.123648498,0.204503323,0.105960148,0.078355914,,,,
5.616077778,0.109450326,-0.037323741,0.128928452,-0.00077532,0.132871753,0.198698665,0.120878505,0.076490964,,,,
5.643888889,0.05504901,0.012115811,0.125772723,0.03650517,0.127241597,0.193553115,0.128498512,0.125857126,,,,
5.6717,0.053829567,0.049824492,0.11859842,0.028149524,0.159966856,0.200113935,0.127305766,0.077398936,,,,
5.699511111,0.054408021,-0.06366613,0.112249785,0.025237739,0.112358691,0.205113151,0.133120556,0.043257157,,,,
5.727322222,0.035043327,-0.050952646,0.108543424,0.017345187,0.141853036,0.187171609,0.086381105,0.090366965,,,,
5.755111111,0.049738009,-0.010325261,0.090776663,0.018740469,0.131728418,0.179474262,0.106996739,-0.062127919,,,,
5.782913889,0.047062432,-0.007201236,0.120591288,0.034809103,0.127591915,0.204334131,0.044142238,0.102667885,,,,
5.810719444,0.050105811,0.076680493,0.115717621,0.018092055,0.150407811,0.163644535,0.120659975,0.070557658,,,,
5.838511111,0.082571075,-0.005692903,0.140849271,0.029428176,0.170383045,0.187274261,0.102354176,0.039154736,,,,
5.866316667,0.040310206,0.018297561,0.129067689,0.028365309,0.170154696,0.168758826,0.15122116,0.036694902,,,,
5.894125,0.052833918,0.045066514,0.132835127,0.024832576,0.174011347,0.156152097,0.108887196,0.030168838,,,,
5.921919444,0.042032177,0.067837999,0.16352301,0.020623359,0.184219234,0.166886358,0.105236462,0.088609484,,,,
5.949713889,0.032249465,0.102359019,0.111535401,0.023618129,0.172377206,0.204480744,0.117246544,0.071164893,,,,
5.977519444,0.060085226,0.183549241,0.131266076,0.012656095,0.184781118,0.207710945,0.110309373,0.039198883,,,,
6.005311111,0.066551204,0.067212572,0.122654125,0.030291882,0.169898968,0.204325628,0.105294405,0.051685233,,,,
6.033116667,0.068759833,0.080596176,0.141355079,0.015136135,0.165168236,0.205297867,0.120612808,0.063031015,,,,
6.060927778,0.081826829,-0.007061762,0.124236095,0.013450902,0.174595341,0.177394341,0.139797454,0.090800885,,,,
6.088736111,0.087201535,0.00023963,0.137832874,0.051536181,0.184904895,0.185531748,0.113227711,0.070825825,,,,
6.116547222,0.106138785,0.032795203,0.113178087,0.026701714,0.179291791,0.20121719,0.126015378,0.311865952,,,,
6.144336111,0.086956818,-0.010825054,0.134622129,0.04145485,0.156333139,0.195761064,0.101936957,0.037723682,,,,
6.172138889,0.066676401,-0.033112545,0.133655471,0.007239326,0.171361502,0.162610938,0.169511473,0.089021576,,,,
6.19995,0.064267331,0.006425656,0.130860184,0.019241913,0.156430184,0.189217224,0.112832592,0.088673127,,,,
6.227758333,0.073242066,-0.037367624,0.152537079,0.041562157,0.165035083,0.19769097,0.159988893,0.083992592,,,,
6.255552778,0.122759135,-0.07366757,0.14561347,0.037435311,0.151052028,0.163559507,0.15383016,0.035488472,,,,
6.283361111,0.090591013,0.031628461,0.142965522,0.055109761,0.17895402,0.211548376,0.155220451,0.116396897,,,,
6.311169444,0.084232687,0.059485119,0.138700886,0.033330828,0.175494866,0.176097452,0.137667594,0.051737312,,,,
6.338958333,0.063106769,-0.02677327,0.137672876,0.054131413,0.161280768,0.181993138,0.122506529,0.101903264,,,,
6.366758333,0.089931665,-0.024040503,0.121939243,0.023365912,0.137110616,0.201158499,0.124655959,0.069545763,,,,
6.394552778,0.099641766,-0.007946854,0.126432573,0.051461793,0.13689939,0.168543251,0.112567373,0.015093258,,,,
