Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1%,M4-1 - 3%,M5-1 - 3%,M6-1 - 10%,M7-1 - 10%,M0 - 3%,M1 - 3%,M2 - 6%,M3 - 6%,M4 - 8%,M5 - 8%,M6 - 10%,M7 - 10%
18.62735278,0.24486437,0.210837174,0.436179439,0.467002455,0.749987703,0.639995856,0.435889658,0.311981983,0.989270104,0.793081959,2.773811482,3.39265252,3.975521456,4.409612378,4.13345255,5.560249636
18.65514444,0.240412856,0.187024015,0.43010503,0.473579205,0.752851359,0.646195706,0.438960796,0.309241212,0.984100508,0.800696468,2.80983455,3.389213294,3.978803203,4.47556644,4.175118511,5.560060816
18.68294167,0.243382963,0.203437891,0.433909914,0.470834233,0.757614638,0.648490291,0.43815479,0.345668311,0.990209185,0.79611866,2.831061267,3.436317058,4.031621657,4.480800488,4.210633159,5.603286873
18.71073056,0.24076835,0.190916573,0.43538799,0.466058042,0.757768705,0.645701786,0.43978101,0.358703743,0.995567038,0.801337976,2.83906574,3.48896606,4.086421835,4.517617243,4.256480961,5.719953808
18.73853889,0.249995593,0.181304192,0.435152156,0.462349225,0.757797366,0.655002957,0.440489103,0.328887629,0.999937427,0.807570997,2.895605746,3.51446072,4.095300193,4.542322443,4.299644134,5.742632001
18.76632778,0.249869847,0.182250848,0.434795966,0.460120977,0.76495161,0.65302752,0.447673676,0.356391741,1.001690822,0.807408605,2.921550721,3.514548934,4.144989451,4.577273281,4.326647504,5.771193909
18.794125,0.256400771,0.166162158,0.434830643,0.472026708,0.768167422,0.657352302,0.436082932,0.347106351,1.002257842,0.812044887,2.926652939,3.551426149,4.152579754,4.599461624,4.388236935,5.808931505
18.82193611,0.255746941,0.186850827,0.44062159,0.476922008,0.767175231,0.658778625,0.442581013,0.339981939,1.008166767,0.811558101,2.967962367,3.608132152,4.22384437,4.66509383,4.387988775,5.852506359
18.84972222,0.265421559,0.205232348,0.436514827,0.468614753,0.774402232,0.65833867,0.444727694,0.348812837,1.014132011,0.816997448,2.975017732,3.643865713,4.271810953,4.715120905,4.466753166,5.911872125
18.87753333,0.27073521,0.216449803,0.441527353,0.478751592,0.777465464,0.662444675,0.447401645,0.326125878,1.02136235,0.819380443,3.024859934,3.631812532,4.239602532,4.715162133,4.505305301,5.942255427
18.90534167,0.246011763,0.202072843,0.438101391,0.487976873,0.785426733,0.667859795,0.456842084,0.335465594,1.022292619,0.827073567,3.033284249,3.667104337,4.290150164,4.788738444,4.520422777,5.962659502
18.93315,0.258105429,0.269776881,0.44570184,0.477027956,0.779676785,0.668387239,0.450209336,0.349846324,1.020470365,0.831794573,3.081507126,3.66838879,4.333898722,4.807272009,4.565053176,5.998950212
18.96093889,0.279285455,0.199393691,0.446143949,0.479751207,0.789734675,0.6734808,0.456961795,0.350506116,1.024468939,0.832468104,3.098138529,3.73598429,4.315020241,4.845461928,4.640708613,6.057002419
