Time,M0 - 1000,M1 - 1000,M2 - 2000,M3 - 2000,M4 - 3000,M5 - 3000,M6 - 4000,M7 - 4000
9.452922222,0.216480408,0.253147343,0.295713267,0.376394217,0.379348158,0.353741679,0.316496342,0.28099223
9.480725,0.208232339,0.204523947,0.311978934,0.374297233,0.354888894,0.353066119,0.319315249,0.277791687
9.508530556,0.214562859,0.214439838,0.299144265,0.380192977,0.356734866,0.354486697,0.322461129,0.281094641
9.536333333,0.217434253,0.229967279,0.307880246,0.374916886,0.3805969,0.354869233,0.321038282,0.277980983
9.564141667,0.216750877,0.240262466,0.300339745,0.373539066,0.390430712,0.359267324,0.320206019,0.28784955
9.591936111,0.212167253,0.229865469,0.302591774,0.374835036,0.40549963,0.362632006,0.322846672,0.269341368
9.619747222,0.219469466,0.227373621,0.310422873,0.378493067,0.391618536,0.350703355,0.311668252,0.286048055
9.64755,0.230877445,0.227134707,0.300678849,0.37499946,0.37370419,0.373342877,0.317397491,0.27791934
9.675341667,0.212994974,0.21478298,0.304213393,0.381551974,0.371173035,0.377698505,0.317586083,0.295412692
9.703152778,0.218377955,0.221727006,0.319776022,0.381302091,0.369852181,0.380042555,0.323659752,0.279364652
9.730961111,0.220978827,0.211459014,0.316989202,0.387086954,0.404890839,0.385176763,0.321367578,0.291159556
9.758758333,0.222537749,0.220924567,0.318404328,0.377299166,0.411743485,0.379926954,0.33123244,0.284398192
9.786561111,0.215800951,0.203578844,0.305317513,0.386881771,0.378729102,0.381978384,0.334270555,0.288385196
9.814347222,0.217205675,0.21756156,0.308705944,0.387291361,0.399692565,0.384497425,0.335011103,0.298464155
9.842155556,0.22118447,0.213705476,0.308893727,0.399865599,0.407263194,0.389533845,0.334754964,0.309532478
9.869961111,0.224911537,0.210928251,0.3113282,0.401952158,0.409718213,0.388990683,0.334231255,0.309612631
9.897763889,0.250038605,0.22766448,0.310890546,0.394953493,0.414342332,0.393059311,0.336725251,0.30449317
9.925563889,0.211044192,0.224584802,0.315821881,0.39787529,0.41760189,0.395869166,0.346557118,0.305117262
9.953355556,0.239060366,0.2105122,0.321285735,0.402753991,0.428361234,0.397343668,0.342861061,0.302338661
9.981161111,0.229314229,0.210828579,0.319424997,0.402986143,0.406524769,0.396306537,0.344184509,0.318466151
10.00895556,0.218433034,0.224675239,0.321314433,0.410307602,0.416620888,0.398173073,0.34486739,0.319206614
10.03674444,0.227319049,0.219865772,0.323099296,0.410892948,0.437040535,0.398618722,0.345009009,0.312625352
10.06454444,0.230768744,0.216779894,0.326306868,0.405871385,0.430301931,0.402101135,0.346082071,0.312486228
10.09234722,0.231058753,0.213922923,0.331171401,0.410876517,0.449342149,0.405908048,0.345773413,0.315041501
10.12015833,0.234458589,0.213856139,0.325628627,0.413902751,0.436507663,0.406528145,0.343419386,0.328962488
